published,fetched_at,ticker,title,source,link,sentiment,sentiment_label
2026-04-22,2026-06-29,PFE,Pfizer (PFE) Stock Sinks As Market Gains: What You Should Know - Yahoo Finance,Yahoo Finance,https://news.google.com/rss/articles/CBMimgFBVV95cUxPS0J2MXlTaXpoVWRZdG5RRmpmdXI0ZWZ6MEF3SFFSak4xMXk1VnFlamVNeFNVT3YwOUVfNy1zRWNVX2YwLXVxQUJoT2ZrcXpEZllwQTFwOUh6d3doYzQtSXBtUXpMVkhHRDJXMzJrVGhYNmpSQnNUUGlhbDFRZlUyeGVNaHRtSlcwTFhNY0NuR1ZjcUFicDh4eFdn?oc=5,0.34,positive
2026-05-14,2026-06-29,PFE,PFE Stock Declines Post Q1 Beat: Book Profits or Stay Invested? - Yahoo Finance,Yahoo Finance,https://news.google.com/rss/articles/CBMilgFBVV95cUxPNFl0YmFDZmQtdXZybzRFS1V3alVzZ0hpWloyd05LVDE5S3R1dXdrUHBVUURfRXYybzhjRndIQ2Ytd3FrODBCQ3MzN3l2dkoyUVJzWDRJVzlSdzAwLVYydjI1N3BMVUdMUEhqTlVXbnI0b2Y5MEVuWnpHdXpYM3VZMXZ1UEkyV0Q1SzZ3eUVrSVJuaEY0TXc?oc=5,0.4404,positive
2026-05-25,2026-07-29,PFE,Why 1 Wall Street Analyst Thinks Pfizer (PFE) Stock Could Soar 38% - Yahoo Finance,Yahoo Finance,https://news.google.com/rss/articles/CBMilAFBVV95cUxQclNCTEs4YUVmSXlDZ3dwX2RfaUpQeUVuWWQ2UTRrdVVQaE0yZVlfejdpNFZoUk84aUxFZ040VjVIWWV3WGpxMkRfdlI1cWFaakJPZUNyWklXWWtqaTdBc1U5WWNuQ2dFcUkybUx6V2lIU2w5YlgxMUhieExfbndiZ1lDRkw0b3EycDd3VjZsYmlRTzdj?oc=5,0.0,neutral
2026-06-01,2026-06-26,PFE,AbbVie vs. Pfizer: Which Healthcare Stock Is a Better Buy in 2026? - The Motley Fool,The Motley Fool,https://news.google.com/rss/articles/CBMitwFBVV95cUxPQ2tYc2tTcURRcnBISlBWWWxwdHk1MzBUY25oRzRaNWlJdDBfQ2VzOUZFZXdqZGU5dElRVzJNekxkaGRPUDZ1VkM4bmpIRXdackF3bG55YllTdDREdU9lMzlhS2dDZndNZDNnN05rNWsxRnhUcjFIbnU1ZU9vUFhCeDdBcWZYd3VMZVR6ZTYzUnBnNjhoTHlQdGlNWnNMVTljRHh2am45anlVV0xPcTYyOGNwZlRPUjQ?oc=5,0.0,neutral
2026-06-02,2026-06-26,PFE,Why Pfizer’s Current Price May Be Too Cheap to Ignore - Yahoo Finance,Yahoo Finance,https://news.google.com/rss/articles/CBMimAFBVV95cUxNbG1fbTE0MWpscjNlRTBlb19jVjB0aGdsVXdBZ3R4YnAwUXg1NGFEZDV4akl0SjlaQk1rbTAtZXhsRlZUcTFMRDE3TXhEMFV6aUZmcl9tWS1sRFNkZG5PX0VTS0ZUQlJjdk43eGJ2ZzRYSDgySUE3cURTV0ZSbmRSTlhzNGgyWnpZeXQ0YTM0bXU1M0JuU2p5Tg?oc=5,-0.3612,negative
2026-06-04,2026-06-24,PFE,Why Is Pfizer (PFE) Down 4.5% Since Last Earnings Report? - Yahoo Finance,Yahoo Finance,https://news.google.com/rss/articles/CBMijwFBVV95cUxOQnhFM0M5N1pScy1lck1qRFFUTE5EZDdXNnpjNF9aLVdQWi10enBReHl5U1IyV2JwVHNJMEpKZ19BSjB0OHlQeUl6ODlOMjF1YWw2YjRMNzNyRm01X2JUSHNGZGp6ejRnWG1LZ2JMSTlWenowQUhRUnY0UU9xVm5kSU9XVnRTYm1nbzI1bjVJMA?oc=5,0.0,neutral
2026-06-05,2026-06-24,PFE,Assessing Pfizer (PFE) Valuation As Shares Recover From A Mixed Recent Performance - Yahoo Finance,Yahoo Finance,https://news.google.com/rss/articles/CBMipAFBVV95cUxQR2JDSEZQb0lJQUp2Q3piSG4wYjctbFdhbVhuM2Z5U3VqQzVKTmoxajVaS1ZkMkpvRHR1S3gzMVV5cjY2ejVfWGozYjhEc0F5eEplazE1LThUWkpNV1Bxemc0NWVWQzNCYVJjQklaQVhUdFBKSXByZ2VndGhzR2p0dGlwSV9UUXpFMlJNMm5namY0ZDhaUUd5SlVwSENiS2pFYVhULQ?oc=5,0.296,positive
2026-06-06,2026-06-30,PFE,Pfizer’s Berobenatide GLP-1 Obesity Data Might Change The Case For Investing In Pfizer (PFE) - Yahoo Finance,Yahoo Finance,https://news.google.com/rss/articles/CBMipAFBVV95cUxORkQ2N2RoVU1TcVpraHd0OUxtQS1oamNoeGdnemV3YUMxUVY4T3VUQi1kRGhPNW8wRGE1Wk1QcmZNUzZkRzBNZnl1cVd3QzlxSzdmWnpmcW94WmJweGx0cUlWZFNadDdnVmZzaGk4VG5qRmljQjZIeFpNLTZfUU1GYWl1UEgzQ1BXRFRtWndxRGU1RGc5eFpBUmdYcW80cGwyWFZFRg?oc=5,0.0,neutral
2026-06-09,2026-06-26,PFE,Prediction: Pfizer Stock Will Double on This Date - Yahoo Finance,Yahoo Finance,https://news.google.com/rss/articles/CBMiogFBVV95cUxNV0tXb3dDRlpZYjE5ZnZKc0x5NXdKVFV5ZmkySGtjNFZSeWZJX3o0ZHNWaDBPeHJKMnlMay1SbFJRTHFBR3lEWjZ6VVFJSERrb0cxREhwcmJ6YmZrdHBlRVlpOGotX0VoeTFGNS1LZFZpRXE2NFhYUmE5dUc0YWtIUUhMS1JyOVFJako2c3djRVlkajkzSFlINmJTZHlKUVNsUlE?oc=5,0.0,neutral
2026-06-10,2026-06-24,PFE,Prediction: Pfizer Stock Will Double on This Date - 24/7 Wall St.,24/7 Wall St.,https://news.google.com/rss/articles/CBMilwFBVV95cUxPV3ZZWjZabDF3Y0o2VnVaSk1ubDhmRTdzOG1BZUcwZkU4dEE1TjJQNEZ3R3VvbnowcHRhQzZ5eHR2UU5Ja1RDNDVJYmpOMnNQSXZBcEROa0pUMkRzN2hEMTJza2xzSnp3NDhqejRQM2FtMmJTdFVpZHhxMWFpUkRZbmZKbzgtU0RJQzZoWWU1QWtjNk9rU3Uw?oc=5,0.0,neutral
