published,fetched_at,ticker,title,source,link,sentiment,sentiment_label
2026-05-28,2026-06-24,UNH,UnitedHealth Group Incorporated (UNH) Is a Trending Stock: Facts to Know Before Betting on It - Yahoo Finance,Yahoo Finance,https://news.google.com/rss/articles/CBMirgFBVV95cUxNVDNab2w0SllxZGk2RENQX3pKNEhQeEhoYmhPN1FWemVRT0hpRk5odk5LR1hvZU80LXJOVzhMNGQ4cTlEXzgtT1ZBUFF0aEhPR0l4OVA4eE9TSnVydnA0ZjY0dHlDdG1wSTAyQ29uS2ZzMzFhX3htODBjdUdhdDVqM1BjQjZYeHJyd2ZKLVdzOV9Oa1B3TmgtbEEwdXM4cXd3LWp6ekg3eERXLVl0T0E?oc=5,0.0,neutral
2026-06-04,2026-06-24,UNH,"Is UNH Stock Set For Another 12% Rally? Analyst Says Medical Cost Trends, Supportive Data Points Leading Toward Favorable Q2 - Yahoo Finance",Yahoo Finance,https://news.google.com/rss/articles/CBMikwFBVV95cUxQd01wZ3NwZkM3bUdfVXhydjBrcFZHeEE5NWhPcDFQYTlJOGY5bzluUVY0VlN0ZUdfVUxvMXh4b2pkbzVfVFV6X0MxUFV3S0JsS01KUUNOWjlJNExkTDA2a2RZQ1pUck9GeWhGOWVHaTBic3FNRFJBVFZFOWM4dGlYY0d4M2UxWmo2dDRaTlBvbkRhRXc?oc=5,0.6486,positive
2026-06-04,2026-06-24,UNH,UnitedHealth Just Raised Its Dividend 5%. Why You Should Buy UNH Stock Here. - Yahoo Finance,Yahoo Finance,https://news.google.com/rss/articles/CBMipwFBVV95cUxQLXlIeTlrX1pzWGpNVWl6bHlzNnZNUjJZLWp6UUJzSFJRdFpkSjNIYW9URndQSERwcldoN0NTMGxmSG5HdkRWX1RZaFVXdVFYNlJBaWVuUWlSLVM2dFRlX01rSFFXRVViZFJmcUNrWEJJdm9NRmx1RzFURUtBZEJYazhaSjIwdFBGRkdpWFZlMGhiVzZod3hkdFQ0Rk5JUmVWZS1BUjZBOA?oc=5,0.0,neutral
2026-06-04,2026-06-24,UNH,Why Is UnitedHealth (UNH) Stock Rocketing Higher Today - Yahoo Finance,Yahoo Finance,https://news.google.com/rss/articles/CBMiowFBVV95cUxOanBfUC0tWWROWHBjSnByM0dJMTl5NE9rSHdlYWxiU0gydnR3bWgwTlZ5MFBKbEl1c2x4XzJxTk81VkcwOUJCWkVpYktYZ3BPYjU4VjJnUGlILVQwbHVQYTI4SjZFb1FtakdSWWc5WmFGQ25uaGIwSUlLYUpJV25yZ2JBMVVsOTdjVW9EZ3lHMFdmb2FMaVFYYlRDa3JpMDFBSWQ4?oc=5,0.0,neutral
2026-06-04,2026-06-29,UNH,UnitedHealth Just Raised Its Dividend 5%. Why You Should Buy UNH Stock Here. - Barchart.com,Barchart.com,https://news.google.com/rss/articles/CBMiuAFBVV95cUxQREZHSU1FREYxWnFnTzFvbmExZjNpOGNZX2NzUHNPYTd2ZnctR2RUUFVHNXFBenBhSzVkV2ZqblFqVEd4WjkzQkc4UkQzNHFFd2hHaGY5emJaU0Z1VXBMckI3dE9iWDc4X184VzV6Z3BjVUtKWnZVbnY1TmNFZUVZVGtuV1NBaU00VzJ2bnZITWplUTBvanFKbm9hWXJWRGZTeWFlT3NsdmtoRks3SEFxbEhydS1PUkpz?oc=5,0.0,neutral
2026-06-05,2026-06-24,UNH,Can UNH Stock Sustain Its Recent 40% Rally? - Yahoo Finance,Yahoo Finance,https://news.google.com/rss/articles/CBMilwFBVV95cUxNdFpKcWREU3pGajlvRzJ0d21RU3VBZjFicVJseUZ6cmRWVE1RaDE3Tnd5UU1uVUM4dzNhQmFtLVJZbnVySFdTSHJrTXcyaHBycEdTZVItN0UxMXlINTdqT213cjgyTlpwb2kyM04tNDByR2c4NmNiM3RkOHNHcWNZWkVCQmcxZFp3QTlVWldPNFgtelhsU1dF?oc=5,0.0,neutral
2026-06-05,2026-06-24,UNH,UnitedHealth Stock Jumps on Upgrade From Bank of America. UNH Is No Longer Just an Insurance Company. - Yahoo Finance,Yahoo Finance,https://news.google.com/rss/articles/CBMiqgFBVV95cUxNZkx2eUMzVTQwVW9PRkhZNTNSbm96ellsTzlnem52eGIyQ3ktU3lVZ3d5S0pLRm84MXprN0V4NzNBVmQxd050aGs4c2xlUktRMTdGRDRGYmhiVWx4dkQ1M2txUE9od3dhaW0ydk9XYlU1bFROMWlBbUZGNVpoSkozU3pEZWdQODVxVlhsZzR2ZHNidlkzNFFncDFlZFc0bzlkc2NpUXJXUUoyQQ?oc=5,-0.296,negative
2026-06-06,2026-06-24,UNH,Assessing UnitedHealth Group (UNH) Valuation After Recent Share Price Momentum And Narrative Fair Value Signal - Yahoo Finance,Yahoo Finance,https://news.google.com/rss/articles/CBMiqwFBVV95cUxPR0FfNUFGUXVsWk1vTUZRcERSREdzRWF1ajhOaUZrRE1pNjlicWIyNGpGVDJXOHpKbG5LSVoxUWQybnVKek1wSk5ocFYtV0ZCVmQweHFBZ19iNEFUNUJMUmhjS0l4TG5HZ01sQmNKVGNUYW1YM05FQXFsZ3h6OE9xSG5xUzJfZllKYlJoN0xtUmNVUWtxNjVFX1JJRkZKeG5ERU9fc2pra0pVaFk?oc=5,0.7096,positive
2026-06-07,2026-06-29,UNH,Is UnitedHealth Group Incorporated (UNH) A Good Stock To Buy Now? - Yahoo Finance,Yahoo Finance,https://news.google.com/rss/articles/CBMiqAFBVV95cUxOTDNTTHpVR082dk1mZUhiNkhwbUVNWmIzbTVpbVpGUXBORzVrT1BHY0VVWDZOY1dVdDVFam12WmxMZms5YjVFaG5wYzBhdm1IUkFZVVpwLTF0d1V3bDFCNDlWRGpUMURGWnRnVkgtVWZCZ3ZIMTVqLXI4U0ZfRVNvTEdJWG5Tak1kaDYwbnZvNEZEMFdDQTY0SVkyYVNDaWpYbUZ2ak5YVGc?oc=5,0.4404,positive
2026-06-09,2026-06-29,UNH,"UnitedHealth, Applied Materials, Citigroup Stocks Surged To 52-Week Highs Today: What Drove The Uptick? - Stocktwits",Stocktwits,https://news.google.com/rss/articles/CBMizwFBVV95cUxNcmhBR1NLLXNjRWJjMTcxcmo4WHlISW4wV1Y3a2hGU0p4eHMxMEJILVA5b1otWEtPaTRfMlJpYUVYVGxKSlFhbnZ0WUxLNDU5VzVlcl9tSkFzcE0zcWdJekN0cW1WcWlmT0pCSHN6cE1IOHh6TWJSeW1DbkZlMVU3aENCOGR0YTdmTUwzdXRmUzRiVnN0c0FFajVQS0NPRGh6TGo3UktKYkd3YmZwajNnWnVicnNNRC1rNXhBeUxjTjhILWl4RVFma0FWN2lDYUk?oc=5,0.0,neutral
2026-06-10,2026-06-24,UNH,UnitedHealth Group (UNH) Stock Moves -1.28%: What You Should Know - Yahoo Finance,Yahoo Finance,https://news.google.com/rss/articles/CBMioAFBVV95cUxORHdSTkhzYnkwaktGTnlGbGhXNVY1WmU2OFVYcmJBU1VWTl9FbTVVam0xMU5NelF6RUdMXzl1dnZfN3F0VjBiM09RcmR4RmF2NE9lTUJqQUZVbUtJRUVfRlpFY2h6SXl6UU5SeTI1c3lYWUdwQVp3dHVrUVRsM1NsQ0ZaWDR3T09uYi1pcVB0RUVLXzRDajVUanlvOWRpWjdC?oc=5,0.0,neutral
2026-06-11,2026-06-24,UNH,JPMorgan resets UnitedHealth stock target for 2026 - thestreet.com,thestreet.com,https://news.google.com/rss/articles/CBMimAFBVV95cUxOOFFHNWFxRlFZZFdzNFlNMi1pZm84SmxZeEF4WDdRc0tjNWt0My1MQXctZzVGWm40Wk94aDE4NzJjYW10Y2NsU2N4UnY0SmpZM3EySmZpSFZEVHhBY29ZNmtPRG5pZzBPSW9PY0pTV3hDQzRCT2kwVDlqQWdJeEJOdW04QjNYVmtlUVRzYjhWRzRTRFdYRncwVA?oc=5,0.0,neutral
2026-06-12,2026-07-06,UNH,Did Dividend Hike and Rejected Independent Chair Just Shift UnitedHealth Group's (UNH) Investment Narrative? - Yahoo Finance,Yahoo Finance,https://news.google.com/rss/articles/CBMipgFBVV95cUxQemJmT0VSNC1HSVViQlpWTlM4bE1qdUp4NVJtWExueTFLdU5LWk1WSk5HVnNRZ3FUeVR0STIzSk13SlE4X1B2REhrWFN3VHBVc0h6OW5QZWpOZFNYV0xrUGp4RHJBN1dfUGE2cU85LWY1dHBqTGhvQmpORFRkTjhoOXJoZ0xqMy1zV2RKTVd6SVE0dWJDM0NCSk92UENhQnU3VkpsY0JB?oc=5,-0.5106,negative
2026-06-13,2026-06-24,UNH,UnitedHealth Group Stock (UNH) Opinions on Analyst Upgrades - Quiver Quantitative,Quiver Quantitative,https://news.google.com/rss/articles/CBMinAFBVV95cUxNNE9yT0FHbGZTc0VVdGdpTzc5eUZMRjFpc3NoSDYzWXNYUXYxT2s4SS1qdHp0Z2FINHd0VW93cVJlR2FkQWljMTdhQjdsRHAxbmVXbEtoZEE1VVBmZUVsVUVEYmVUa0M1cE80ZWREWks3OTY3VklKX01OS0pGR09nbHNwNDljTC1LZWVneEJtQ0hneXMzeGJabEM4WUQ?oc=5,0.0,neutral
