published,fetched_at,ticker,title,source,link,sentiment,sentiment_label
2026-05-22,2026-06-24,WMT,"Walmart (WMT) Stock Trades Down, Here Is Why - Yahoo Finance",Yahoo Finance,https://news.google.com/rss/articles/CBMimgFBVV95cUxOTFRUaWhrSS1ydi1CanVqSTBrLUlfOGcwQ0tXU3M5TkU0dzFxOWtjS1pfUjVvWDNiZUtSVTFvWXRkSmNrQTJKR052V2FDaEVfZWpNY3NuRVAxNWp2UzZhdTRGSnpiSzBITU4tVVZuSW5pM2IyYWk3NTdOaXg3XzdUc0lmem1wSkd4YjctYXAyeGJfRExGSUFOYVlR?oc=5,0.0,neutral
2026-05-26,2026-06-24,WMT,Walmart Sinks 8.1% Post Q1 Earnings: Exit WMT Stock or Stay Put? - Yahoo Finance,Yahoo Finance,https://news.google.com/rss/articles/CBMikAFBVV95cUxPSHVPbW5iMWszUXhwVUpkTlhlRDJiWGpEVnRtQUc0SkdmTERaTVFTaHdTYVB4ZlRQUmpuT2gyTTQzWThaZlUxX1JkVU9ocWl0ZzJoZ25qSTJ6N2FxeGFWZ19VZjdjSXcydjZCWXFXdlk1dTd1cm92TEdxeWprVXFnTkRCQXlhNjBuYk05ZjU5YWM?oc=5,0.0,neutral
2026-05-27,2026-06-24,WMT,"After Earnings, Is Walmart Stock a Buy, a Sell, or Fairly Valued? - Morningstar",Morningstar,https://news.google.com/rss/articles/CBMimwFBVV95cUxOenhBNGxuWThJMXlGQzJIWjZYc0xwV1hoT2V1XzlRVWZvTjEzbV82bEVoMVdyWFFYajMyc2JadUZlTmZmbFNuU2owSE1pdDhWcVhIZS1maDNsbVh3anIybjVxV0JNNFBiU282RC1SeGlHMllsb0FmTDFBOTlDMGREQ1pQcFEtSW5kOHEybGU4QlVHc1I2NjRKMWUxTQ?oc=5,0.4404,positive
2026-06-01,2026-06-24,WMT,WMT Stock: 4 Impending Events That Could Invalidate the Thesis - Trefis,Trefis,https://news.google.com/rss/articles/CBMiwAFBVV95cUxQMDNYMjVPOFBWZTdqakYtbnVRTW41MGFienlCai1vZDA4OU5ndDRxd0N2QUdxSFBSc1RHY2t2VHNibi15bThJZ1F0MElCcEhhRkJWYnN5MGRqbl9iYlFSMTVrTE9iTnBOSDdWT0FGNHhXaVdIWXlfVlVzWFVRa1RGazhLVVZuZ0FjYnFFQXBENHZUaUFGQ0FiZ3RCdjlXeVA1TFRfRkx2b1R6NnROcFNGeFZ3ZlM0M2JPLXVKNDZrd0o?oc=5,0.0,neutral
2026-06-01,2026-06-24,WMT,Walmart Stock Looks Attractive After Earnings as the Charts Improve - Barron's,Barron's,https://news.google.com/rss/articles/CBMijgFBVV95cUxNZDIzcTVTOFJka2lRb1Q2Q04yYXg4ejE0SjZMS3daUjF4Q0VBRnhzdnRwX3VldkVqMFI1Q1ZjSkJ3dmdERTlGRFoyRWZkYm84M2xvc0VKeWdxVzJwMEhucmZxUGM2WEpRUzVzb0s0YjVNMGtVamxETWc3UXFOeGktNWdPX09pUWNnSndSVGJB?oc=5,0.7003,positive
2026-06-04,2026-06-29,WMT,Walmart’s stock was once a market darling. Now its tech-fueled valuation faces a reality check. - MarketWatch,MarketWatch,https://news.google.com/rss/articles/CBMi0AFBVV95cUxPbDVGOGdMQW5sUmliZEJOSng3ZmRGTlhtQWdfeHpIOVlSbEcyNW9paHE4bkF4QktpNFU4WDVHNVV1d1ZSNDNudzFVZ2lhNVM2ZTI3VnlrX1lFcVRaNGl2ZDJscmFuLUJLLXgyb1RRSl9jWHkycmROc0t2alZtdXRmUml0RzNYYm81T2hBN0pjb2szdzgyUUh4ZnhoN2d5Z05SamdTNktoOFFXQmtsMU1HSGs1NVlEMnNMMUlxdG82SldaVjNfMFZ4SFN3QzJXOFJn?oc=5,0.5859,positive
2026-06-07,2026-06-24,WMT,Walmart Inc (WMT) Stock Pulled Back in May. Analysts See Upside Ahead - Yahoo Finance,Yahoo Finance,https://news.google.com/rss/articles/CBMimAFBVV95cUxNdmhPYlNfRHNqMVBGcmpjRFJzVENHc055dlg1ai1BY3BYYUZZcFhOVEFTQzBLTUVSWWlHc1JjVkx2SmhaNzJ0WDY1MEFOeTdCRmVzUkgtUVZFdkQ4LUc0VVY1V0xJbkZkVWFHUVhMQUt0ZVNJa1NYY1dSaWtHU2RmOVNxYWpkbHdxMzRzcV9TbkNqMV83UC1paQ?oc=5,0.0,neutral
2026-06-07,2026-06-29,WMT,Is Walmart Inc. (WMT) A Good Stock To Buy Now? - Yahoo Finance,Yahoo Finance,https://news.google.com/rss/articles/CBMilgFBVV95cUxPQV93ZnBLeDlGd1VkcXhKdUhhbV81T1Z5VU5VNXRCSVdoU1ROZWZma3Y3ODRTaDFwdzRZNU9GTi1GWXQyNDIwT3BZQnR3VTlhM2FzRkZCcFoxZTROOHRhem95WkVzNWNrMmUxaGJ6eER0TUpUckNScHAxT25OTnIxNkg2aExSQTJFdXp6YTIxWU1uTEQ5S0E?oc=5,0.4404,positive
2026-06-08,2026-06-24,WMT,What's Wrong With Walmart Stock? - Yahoo Finance,Yahoo Finance,https://news.google.com/rss/articles/CBMilAFBVV95cUxNbEFsLWxEdVZiVTVlZmNoM29vVzdwNmZ4eEJZSHV1b1o5NG42UGtDNzFNWVhKSWhoczlHMFZwZWlhczFjTVE3TG5NV0lqR3ByU2gzOF95NDUtbDB2TEdNRDVWZU1mTG1EUl92b3hYdXhVTGo4ZVFPYjNaM05Xd05EM3lvQ0V5YW9saDNaY3N5czBEdXhB?oc=5,-0.4767,negative
2026-06-10,2026-06-24,WMT,Is Walmart a Millionaire-Maker Stock? - Yahoo Finance,Yahoo Finance,https://news.google.com/rss/articles/CBMinAFBVV95cUxNTTYyWW9LWjdQUjRTWDVGT2ZmTmxSblNHaEM3ZzBXOUVIbVRZckZxRWNNS3kxYndINFZPZVJackpzY3pHVkl5NjFuVGRnSThtLTVQcnBWVWFlY1ZkanJGdlB1bmF3ZWVwSlVFbkw3VG4yeG1xeEw3Y3c3ZGtuZVVwSHQyYW9BRDlHLXV5SEFPZEkySUE1RkxKYjZ1bk8?oc=5,0.0,neutral
