published,fetched_at,ticker,title,source,link,sentiment,sentiment_label
2026-06-05,2026-06-24,AAPL,Apple (AAPL) Stock Moves -1.18%: What You Should Know - Yahoo Finance,Yahoo Finance,https://news.google.com/rss/articles/CBMikwFBVV95cUxQdDM3d1AxTExaUFQ3Q0hRZ3JuM19tdDM2dmo4VmNDSUQ0UmY5b3F1NHlOeTBFTDJlOUY0bU5JVDVmd3FkRlVlU1c3R0R3WkhQeUJPRjk2V09sZDl5dEwwNEdFN3BmMUVIMDRPaGpFUGx4VlRFT2xsdk44X0ZQd1A3VlZjTXpHQVpvejc4d0YyN1JMLVk?oc=5,0.0,neutral
2026-06-05,2026-06-24,AAPL,Apple Stock Looks Strong. One Number Says Be Careful. - Trefis,Trefis,https://news.google.com/rss/articles/CBMisgFBVV95cUxPLVdzVElieEItNEFqSTBRSTFXV21jbzUxXzVLSlczQ0RBZzVNTEUzUEwxMUFqV0x1NVEta3liNzVhb3BsYTRRcU1xUFFCRENnczlRRkg2UUFZdldwVGhpbTViRy1vMGFfTGdDc2pNME4xa1l5NmptQVREdVA0TkZ0X2hZYVRVRXlEamU2QWM5RDk1ejdERnVBUUxuS2hYd05vQVlRSTJVU1N3cndFM3FUa1RB?oc=5,0.6369,positive
2026-06-06,2026-06-24,AAPL,5 Catalysts to Monitor Over In The Next 2 Quarters For AAPL Stock - Trefis,Trefis,https://news.google.com/rss/articles/CBMixwFBVV95cUxNUEVFb3dZSUxzRlFtSWhjVERHbHdmTDVHLW9tbGpjOWpXanlodGFva2R3MHJmczc3cjdJZmtGelBGT2xjMmV0M1Q4MHdsVFR2Ni1zaE9zMXRUUmc2VHhHRXhFSTkwMTl4c0h5bndvQjhReHJvRktPUTVDU3dSTS1YX0htM19DZURLcW43WEc0aEF2Q1V5WkpTelM2NGZnYkxlZWNzcW02UDBCQUl5bXRFTnNGUEk0dmxMYnNKZGhJVFQ2emJTVWQ0?oc=5,0.0,neutral
2026-06-08,2026-06-24,AAPL,Is Apple Inc. (AAPL) A Good Stock To Buy Now? - Yahoo Finance,Yahoo Finance,https://news.google.com/rss/articles/CBMilAFBVV95cUxOb2V6Rng4azBaN2FOaVpfRVNVZEhjbDQ5QWcxRFZVMWV2aFV5aHMwRkRwbnI4SXU1enFFZlFsb2NPd1lVTW10dGxMZ2stWHFjdW82aE1VZS13RENKdV9hTHJVUmxIUTZZUklDRVlldzFwYkRUV2tzU2hnSDFncmdZSVJjdFZnM0ctV19YRTYwWEExc0RK?oc=5,0.4404,positive
2026-06-09,2026-06-24,AAPL,Why Apple Stock Is Sinking Today - Yahoo Finance,Yahoo Finance,https://news.google.com/rss/articles/CBMimgFBVV95cUxONzkwc3FDWndCa045TmtLQXN1SThQODREWVhPRlp0LVNtSUpBajc3RFdlZmZZMjkyV28tM0RuRW9BQlpaMXZuNHpvUElhbXJUX0NkLXg0ZHFENzFnUUhqbWpiNnNoZlZiNXM2UllNVjRfTkhYN2VJNUxteTFualhvU2dvcmIyM3NGY2RIRWF5U28tUk5veTFCeldn?oc=5,0.0,neutral
2026-06-09,2026-06-25,AAPL,Apple Kicks Off WWDC. How to Play AAPL Stock Here. - Barchart.com,Barchart.com,https://news.google.com/rss/articles/CBMilwFBVV95cUxOZkZTMW9rYkpkR1ZBNi0wd01jMWxlLVA1d3EzSXc4cVRLSDRTUVRmaXBTU3VCVTFQVGMtN0NOYXVqcHdwZGczeUx6M1Q4SnlCUFB0dVdEMllTSEFRRlhWQTRFMmZhNnpkemptaTNlSDRKS3A1RmtYUDEwZUJDVUhrTkd3bzBYUlQtS2daUExQVldCdVBWRWJr?oc=5,0.34,positive
2026-06-10,2026-06-24,AAPL,"AAPL stock slides, but is it a reaction to AI announcements? - 9to5Mac",9to5Mac,https://news.google.com/rss/articles/CBMilAFBVV95cUxOMEw3NF9haFRTdFhtb2EtSjR6dUNCbnhIZTFWaEtrR0c3T2NPUXY2V2VsOTRmaGIyemVwT2tDZl9KUFlXUlVMeVpKTmwybm5rN3k2UEZWa3BaTEh1Q05POHBTNFJYU1FxeUoxVnlTdTd5RmFjVHo4bDdDQU95WGY3a0phd2FTS0xXM19rb3h6OGpzNFBG?oc=5,0.0,neutral
2026-06-11,2026-06-29,AAPL,Apple Inc. (AAPL) Is A Top Stock In Ken Griffin’s Portfolio - Yahoo Finance,Yahoo Finance,https://news.google.com/rss/articles/CBMikwFBVV95cUxON3N3cmh4eF94TWwzRlFPZmZDaXFJSkZFSVlNUExWTTNFOVBaRlNlUlRVSk5pV3VqTjcxYlZqU2Q2THo5OGs0eE1fMElMN0NodHdQQ2tMSUV4TmwtdW12NDFBNzlud3lad0Z0UnFmem45SFExNm9udTJmeUNqMk4xcl9GcE9lNkpZeG90NUZ1RXQ2a2s?oc=5,0.2023,positive
2026-06-13,2026-06-24,AAPL,Wall Street’s Top Billionaires Are Changing Their Mind About Apple (AAPL) - Yahoo Finance,Yahoo Finance,https://news.google.com/rss/articles/CBMipAFBVV95cUxQZnNHaGZrcTJ3YThZLTZmZ2V3UlRvSWVhWGN6Rk01T20wUF9Da1V6TnVPdnJ3czJqYVZPbVNYUTVJWThBeGMzc0tIVHZ1X1M5QmN5UmFTSnhrcktIcVR6TEtXRlhMeVRCOTJwZ0lqcUh1RmlQYXN0RDRCVU9EaUFqSlVIRVI4N0gwcEhiQi00RDZWaG1BaUloVXVnLWtRMEdIcG1MZw?oc=5,0.2023,positive
2026-06-17,2026-06-24,AAPL,"Should You Buy, Sell, or Hold AAPL Stock After a 52% Rise in One Year? - Yahoo Finance",Yahoo Finance,https://news.google.com/rss/articles/CBMikwFBVV95cUxQS1REQW1vVm9PTFBxbXMtY29DQ21CNjdLcWp2b1JyVnpyZWhSNUVCbVlLYldQSWVPQVdxclFSMkxXTjBpejRSUURkcG92VWEwZ19xeDlfaGRTaXkyWHdYOUdrVjhPb281QkJnUlB3ZkwxSUhKZVc3OTRVRG5xR1N1MjU0N0tHWm4wQkRpRlJ4T1JNNlU?oc=5,0.0,neutral
