published,fetched_at,ticker,title,source,link,sentiment,sentiment_label
2026-06-04,2026-06-24,VZ,"Verizon (VZ) Stock Trades Down, Here Is Why - Yahoo Finance",Yahoo Finance,https://news.google.com/rss/articles/CBMimAFBVV95cUxNZTFMTy1wcncycTV0M3FmQ2lxR1hjdzZVMUJYWTN3RnpzWFB1UkdMdmxRdWtjTVVTbDFSdFI1MXY4T3A5VjdaQ1hFOWplb2hEeFlkT21oYVR3WFhuVEZJcnVTRGt0eXZRNm5FTWRlSTJwWGdOSGpoalpoSThqRnpYcUZkZk9BVFZlRlFWTXdBX3lGUWhqMVhrRw?oc=5,0.0,neutral
2026-06-09,2026-06-24,VZ,Is Verizon Communications Inc. (VZ) A Good Stock To Buy Now? - Yahoo Finance,Yahoo Finance,https://news.google.com/rss/articles/CBMioAFBVV95cUxOZ3dvRE1jTTVhUWY4VlRMNW9LbUpncEVxOEFCQ0JUaFhYUXBFRkpkdTItbTlxWFFVUTF5RkhySXZTMlU2eEpyZDA5WEg4ekFHSnduN3JDSkV1ZDl0aktoSUJEWFNYeDVFOS0wdzZFWWtsOGlnUjkwd1E3aGxHVHdqSVZPRjZNNi00MVFkbTRBZVplSE9JWG1hMklCRjZEak9r?oc=5,0.4404,positive
2026-06-11,2026-06-24,VZ,"1 Verizon Insider Sells 80% of Her Stock in $3 Million Deal. For Everyone Else, VZ Is a Good Buy Now. - Barchart.com",Barchart.com,https://news.google.com/rss/articles/CBMi1wFBVV95cUxPSjdybzVTaTBLSThBeVBQX0I0VmhWeGlsRHVQUV9TSVBWazd6TkFvOWw0aVZ0amx3UFZKNUw2S3NodlJ4LThNUUhqQzItTlRQR1Y1ZFQ5YkpJZjdPX29XTzRnQjNOeEJpc3dUVGl0R0lrZVJYeXQ5ZDJpMTR6Ym96YmxYcWxDMzk4dnppa0c5X1R6VjYxNTBUTUFjSEhqd1c4QkFadlJVQVpKN1hpS2VIc0JZOWk2SU9lVjhWU1BOWDF3V2s5MzM5WkVPZUo4WVQ2YjFadlF1dw?oc=5,0.4404,positive
2026-06-11,2026-06-24,VZ,"1 Verizon Insider Sells 80% of Her Stock in $3 Million Deal. For Everyone Else, VZ Is a Good Buy Now. - Yahoo Finance",Yahoo Finance,https://news.google.com/rss/articles/CBMilgFBVV95cUxNMm5pTzB6eXNTaTktMDlmLUMwS2NHQk9OUWxYbG5kQXpIYzE3NkQxcDJhZGRKd08xMndsM2FIQXBIYTlBbm9uVVRkRmhXdldRRXA5NDRhMFpPTGl6UGFuOXFKaFluZ1Z5WFdxZ2UtakNHV05zLWRzSUQtYmtJT25VRmtIU1BQSVV2VF9xZldUb3NqNW13Y2c?oc=5,0.4404,positive
2026-06-13,2026-06-25,VZ,Verizon Stock’s Operating Margin Hits a Multi-Year High: Here’s What the Numbers Say About a $70 Target - TIKR.com,TIKR.com,https://news.google.com/rss/articles/CBMiwwFBVV95cUxOTEluQVNfYzhhTkxiX0w0bENTQ3BRdUE2eEcyYUxwWXRraWd6b3Z2U2FUUlNKUGowSjVzRld2VHhleTl6T3RWaThyd0RXNXdNbmxKUk90MklrVEcyODNSclZpMVNJTmtaNzFXZnhmODRJUXlYVlkwSXhhNnNHRDRPVUhvWTRrNkdZaXVKaTkzNFZ2NTJEOUF5RzBUamx3YlJDa2Rvc2tkR250aUJoaVRrV1EtTWlvSGhVWHl4cXY2a0VzMjg?oc=5,0.0,neutral
2026-06-14,2026-06-25,VZ,Is Verizon Communications (VZ) One of the 12 High Yield Fortune 500 Stocks to Buy Now? - Yahoo Finance,Yahoo Finance,https://news.google.com/rss/articles/CBMingFBVV95cUxPSFozVktVVlhvV0J2ekFRcVZvSXpZc19oMEcySlJURkpudnpYekRFd0xPWUowclhVWUV0NEJJMFRVQnZsU0dxVDNpRV9hczFqVE1KaWZnNkFWTHJ5TE1rNERWbmxrcTFYVjlkUUlZcFoxZWhVdUhUMkI5OTJ6Ujc2Ym55VzhJOGFWRlROdG5YQkZET1RuSUZ2YnJlMlBVUQ?oc=5,0.0,neutral
2026-06-17,2026-06-24,VZ,UBS reiterates Verizon stock Neutral rating at $48 on new plans - Investing.com,Investing.com,https://news.google.com/rss/articles/CBMivwFBVV95cUxONTVacmZ2OVlYTWdkRlhhMzdXRVhrVFNjTVZjWk5RYk92TW50VUUzRFZzTktTdVFZOHdoQVN3ekVkbjZfcUw3UW9YWi11dW43UVpjT0J2cFdZWVJCd0lNZk1ud1BVaHViVkhWTEtNdGhLdy13dlNObm5mZml5aFdYTjNRV1FfRmhsWmh4NmpTNkhZNEY2WUdWRjduOHRlblU5VGxZUWtlTmh1YkFqTVZkaldxVnkxeWVyd1pyOTludw?oc=5,0.0,neutral
2026-06-17,2026-06-24,VZ,Verizon Communications (VZ) Stock Could Be 7.5% Undervalued After Recent Trading - Yahoo Finance,Yahoo Finance,https://news.google.com/rss/articles/CBMipAFBVV95cUxQNGtYT2tja3Y3Wk5pbFhRMzNOOHlHRkh6cGgxdGRpYTI1ajhqX2wyVWR6UFlyOWFPdUNBckpCU1hyNElYQzNDVTE1eGRCUVVMdDBhQlpMQjliYUtRYmVUVWJJSG1WdVJfaXVvT0c2OUh0TFIwYzBNX01Uc1dHM1Y1M2FWWkE1NkZ6T1FZdFVvTGdHQzlndWRMYTJSWkhDT3hyR3ZFVA?oc=5,0.0,neutral
2026-06-21,2026-06-24,VZ,Verizon stock ends short week lower as plan overhaul faces investor test - TechStock²,TechStock²,https://news.google.com/rss/articles/CBMimAFBVV95cUxNY25Fd1ZUUmNTV1lWcW1LM2JkUU11NzR5QklELXBHU0lhOVF0cE1hTEpfc2Ezd1MtUFlXcm9MZWhVempMTUlWN2g3ZzJrdGJBN3RfTmxyN0ZMY1FRQWJQMkVpSnR4QjFMeUJsRHdvSnNnMDdjUW9lOWk5VFdhYXBZNExYVG5RWW9QMzBBR1NDbnd4eDVac3drQg?oc=5,-0.296,negative
2026-06-21,2026-06-24,VZ,Verizon Communications Inc. $VZ Stock Position Lifted by Nations Financial Group Inc. IA ADV - MarketBeat,MarketBeat,https://news.google.com/rss/articles/CBMi5AFBVV95cUxNVGwyaEJfR1RTQkVhZjhpX1ljLTBZcXZUalNPYkFaR2pxMTBzQzdYekd3SFBIWndKWDMwdkI3S0tvbnB3b1A5RHpNdHdvQ1pjZkM0QkNBbGR6REMyZURjb0hnWkRDS0xKZEczc1piQ2NYX3VMOEZ3aTVycVBfUjUzLU5BdWJLWlg5MWRmSkJadFZqaDlKbFlhSnE3LUs3ZXJPWjlOaDNCa2tZdE0wSjVJdGVHakR5SXk1ZXdaUnlxb1R4SmlWOEJJT2hxWUdxdUtaMGlpYktlRGpzWFNjLVZ0Yk5kVjA?oc=5,0.0,neutral
2026-06-22,2026-06-24,VZ,Verizon Communications Inc. (VZ) Is a Trending Stock: Facts to Know Before Betting on It - Yahoo Finance Singapore,Yahoo Finance Singapore,https://news.google.com/rss/articles/CBMikAFBVV95cUxOWTJLZlhtTU54bXdLMGdHcUwtdl95ZXA4bDFEeU1OZWwyc1BvSGlxaU1EOFd6Z1M3ZUg3WXlMZ05nRHBObEJuSnd3dXBPZm04dTc3SGxSZEdjTlprNWU2anRybllHU1ZBOFFkVWVlSmZyMGc5UHZhV3lTTjZnSzJpNVIwTFNJZmRoLUlKcDdTdHc?oc=5,0.0,neutral
2026-06-23,2026-06-24,VZ,Verizon Just Tore Up Its Pricing Playbook. Where VZ Stock Could Go in 2026 - TIKR.com,TIKR.com,https://news.google.com/rss/articles/CBMioAFBVV95cUxOaGNNR29qbVJwWWNhZGdDTGV0SUUydUlxc1FDUTdTbml6SThEZUZvd3c5X2RzcXVOOHExeU5haW9SbWd5enB5ZW9xdm9ENUZmSEdBUVdSSGFIdE5tQThoSFhMQ0NLQXVjVEkxTlBFYnJLVEZfY0RNNFZ6SFp3UFE0VDNoMmVGMURadFVPQXZLbDdJOFpyNzhPU0o4OXJ1LUNU?oc=5,0.0,neutral
2026-06-23,2026-06-24,VZ,Dow swaps Verizon for Alphabet as Honeywell stays in the index - Stock Titan,Stock Titan,https://news.google.com/rss/articles/CBMiugFBVV95cUxQbGh6MWItWjZZZDFSSWZvT1ZBVUhvNmxmLURmbHZHNGxjeWVBSXlXWmt6NjFaTzFGQUZQOUpzMWZ5LWpBaUZkRUhjR1VYYWhuVnZYcFJtU21pMENRYUN4UkdwM2stMy03WnJMcDlxT0U4TTlvZG5XdDR4Y09UYTNEMFFjTF9JRTlNR3ZSX0JsYVQtQ0hBUF80YWtfNXpGMVRMdWdvaE1BSjF0a0lydEZQSzdMSXJTTW9LTmc?oc=5,0.0,neutral
2026-06-23,2026-06-24,VZ,"VZ Raises Earnings Guidance For 2026 — CEO Schulman Says 'Turnaround's Not Only Progressing, It's Gaining Momentum' - Stocktwits",Stocktwits,https://news.google.com/rss/articles/CBMihAJBVV95cUxOb1pBOWhvN3hpRmFfYlZSbE5BdEFEZk9fUTFER0w3eWNPemtYeFgyUEF3SlA2ckx4OXNGaUZzSzZzU2RWY2JpbTdHbzkxTFRfc2lNVG1Qb0dJSHFGOWd1bmZnRDlEeWlYZjhJY2VSVVpvSUZoZmZUMlJ5dk9XblRqMXZHZlNkM2VLZFdGV0l2YXhPOE95WjVFOENuNFd3UGFDX2tRQlFZMnZOT3JXeU5kN0toUHpLbGE1ZVREajFYQVBuRlpHZ0pVenp4Mkh6c0ZsOU41ZDZyMVdvZlNGbmJEM2diODhWUWF2ZE5xbENDdEY0ajJ5RURGcndlblFwbXUxUzVpNA?oc=5,0.4215,positive
